SalesID,Date,ProductID,CustomerID,Quantity,UnitPrice,SalesAmount,Cost,Profit
75767d8a-d3ab-4089-88b5-b97d1a69f977,2023-02-27,P22,C3,1,482.4,482.4,380.29,102.11
0830aede-5a0e-4c59-ba47-b86768790dfa,2024-06-22,P33,C73,12,392.6,4711.2,4094.44,616.76
e400ca42-467c-4c57-8d2d-194884cff2ab,2023-07-23,P35,C9,8,69.48,555.84,418.1,137.74
12a6190d-8126-4220-85f1-b1d3aa9b5e5b,2024-11-24,P30,C41,8,496.78,3974.24,2458.42,1515.82
4d6bc351-53b1-474a-b289-e062e79db473,2024-02-21,P1,C87,8,201.44,1611.52,1081.12,530.4
db292d4f-018d-479d-821c-1c1b9a4ec03c,2024-08-11,P2,C47,13,126.5,1644.5,1292.34,352.16
746a5a8a-537c-4ee6-ba5d-4f8c19ca703b,2024-02-06,P37,C6,1,454.18,454.18,400.48,53.7
8c5612bc-15f1-4760-9a70-788d4a7bd0d9,2024-08-26,P36,C27,13,40.64,528.32,423.71,104.61
481f617b-553a-48e4-9fee-70321983c25a,2024-01-09,P12,C95,10,271.39,2713.9,2233.16,480.74
34c880a2-c4c3-4d9d-9309-092586dd73e1,2023-05-27,P4,C25,4,470.45,1881.8,1261.26,620.54
e373499d-5628-4461-9bb3-e7baafd331af,2024-11-11,P12,C22,18,271.39,4885.02,3964.66,920.36
e1af3f84-70f0-486c-b470-50f7a1a39856,2024-05-06,P20,C56,19,471.96,8967.24,6840.03,2127.21
3cd0e458-f3ff-44e6-bdbc-10f4817efb35,2024-04-19,P44,C22,20,270.77,5415.4,3928.36,1487.04
7f8dd31e-7e69-438d-bd58-09f03f8a8550,2024-05-05,P39,C37,15,474.87,7123.05,4323.6,2799.45
5441480d-493f-49fc-9a83-ecdfc0de7d8c,2023-09-04,P46,C25,7,14.43,101.01,62.49,38.52
c0bf97ef-f894-4201-885e-75e676568c17,2023-03-21,P36,C49,4,40.64,162.56,144.38,18.18
857c5f85-0ece-4d99-a9c2-2e4a83bd48f6,2024-06-22,P40,C52,6,349.03,2094.18,1491.74,602.44
a338b81e-c125-40f2-9445-ff4c061b088c,2023-05-26,P5,C51,20,424.62,8492.4,6589.85,1902.55
db5ee15f-66f1-47c5-a655-0da36a56cdbd,2023-05-03,P48,C31,19,228.72,4345.68,3488.33,857.35
81731061-3a0d-45bb-ac59-39e5ceee48ca,2024-06-27,P26,C42,4,176.94,707.76,497.61,210.15
4d24fd94-d451-4d5e-8896-714b7ef01109,2024-11-06,P46,C25,2,14.43,28.86,17.87,10.99
64831d31-f9e3-4523-9d86-394d4d239c1d,2023-03-22,P6,C55,12,418.17,5018.04,3550.41,1467.63
db47c0b0-35ad-4228-8aad-c09039c6e5f1,2023-05-07,P36,C52,3,40.64,121.92,98.92,23.0
9b201a9c-8387-4b1b-be23-b770fadeb16e,2023-10-18,P50,C21,19,409.38,7778.22,6934.2,844.02
